Date,Open,High,Low,Close,Adj Close,Volume
2020-09-29,137.699997,138.354599,135.365005,136.350006,136.350006,2122870
2020-09-30,135.309998,139.020004,133.654999,137.320007,137.320007,3669578
2020-10-01,139.500000,145.759903,138.000000,142.869995,142.869995,7842336
2020-10-02,139.729996,145.500000,138.600006,139.869995,139.869995,3449488
2020-10-05,143.809998,148.279999,142.809998,144.880005,144.880005,5863248
2020-10-06,146.000000,148.669998,143.500000,145.130005,145.130005,5596359
2020-10-07,146.000000,148.839996,144.279999,144.570007,144.570007,4620652
2020-10-08,146.449997,146.460007,141.529999,142.970001,142.970001,3440686
2020-10-09,144.100006,145.630005,142.610107,143.570007,143.570007,2364073
2020-10-12,146.500000,149.750000,144.820007,145.960007,145.960007,4188117
2020-10-13,147.080002,153.629898,147.007904,152.800003,152.800003,6103281
2020-10-14,153.600006,153.899994,145.324997,147.789993,147.789993,4943980
2020-10-15,143.389999,145.750000,141.130005,145.360001,145.360001,4383123
2020-10-16,148.000000,148.880005,144.910004,145.339996,145.339996,2960228
2020-10-19,146.720001,149.589996,143.669998,144.660004,144.660004,3149154
2020-10-20,145.285004,146.490005,142.150101,142.639999,142.639999,2572474
2020-10-21,143.070007,143.669907,132.550003,135.139999,135.139999,6095209
2020-10-22,136.830002,138.679993,131.639999,134.539993,134.539993,5158901
2020-10-23,134.910004,135.539993,132.800003,135.419998,135.419998,1955021
2020-10-26,134.009995,138.449997,129.520004,133.080002,133.080002,3623763
2020-10-27,134.078003,136.128693,131.630005,133.479996,133.479996,2263148
2020-10-28,132.050003,132.820007,129.110001,131.570007,131.570007,2599204
2020-10-29,132.360001,132.699997,126.339996,127.360001,127.360001,3186766
2020-10-30,125.400002,126.320000,120.449997,123.839996,123.839996,4176654
2020-11-02,124.550003,126.760002,121.769997,124.470001,124.470001,2503008
2020-11-03,125.709999,127.470001,123.830002,126.860001,126.860001,2021397
2020-11-04,133.979996,137.130005,132.000000,136.320007,136.320007,3461903
2020-11-05,140.485001,141.600006,137.710007,138.919998,138.919998,2949925
2020-11-06,138.580002,144.289993,138.110001,141.789993,141.789993,2614845
2020-11-09,136.250000,137.360001,126.019997,126.550003,126.550003,6457915
2020-11-10,127.080002,128.000000,118.099998,123.500000,123.500000,4935818
2020-11-11,128.132706,132.176407,127.500000,130.960007,130.960007,3677317
2020-11-12,132.919998,137.500000,132.100006,137.300003,137.300003,3837735
2020-11-13,137.750000,138.000000,131.190002,132.179993,132.179993,3033270
2020-11-16,129.389999,132.889999,128.214996,131.580002,131.580002,3050205
2020-11-17,132.740005,139.800003,130.500000,137.779999,137.779999,4891515
2020-11-18,137.729996,139.470001,135.000000,137.679993,137.679993,2221095
2020-11-19,138.389999,147.089996,138.014999,143.759995,143.759995,4802504
2020-11-20,145.190002,146.949997,143.259995,145.720001,145.720001,2982769
2020-11-23,146.500000,149.130005,142.449997,147.539993,147.539993,3273091
2020-11-24,145.699997,149.500000,143.773499,149.449997,149.449997,3597051
2020-11-25,150.000000,151.699997,147.192993,149.960007,149.960007,3144430
2020-11-27,150.380005,152.190002,148.529999,150.830002,150.830002,1773456
2020-11-30,154.550003,155.000000,146.307495,153.279999,153.279999,4840263
2020-12-01,153.500000,153.999893,145.669998,147.500000,147.500000,4190708
2020-12-02,144.360001,144.690002,138.240005,141.839996,141.839996,6531335
2020-12-03,159.520004,165.750000,155.539993,161.190002,161.190002,14267475
2020-12-04,160.360001,168.970001,157.589996,167.259995,167.259995,7645949
2020-12-07,168.000000,172.690002,166.100098,170.720001,170.720001,5153392
2020-12-08,171.289993,178.880005,170.800003,177.479996,177.479996,4596063
2020-12-09,175.440002,177.699997,162.889999,166.169998,166.169998,6358401
2020-12-10,165.350006,181.800003,164.149994,179.990005,179.990005,9464406
2020-12-11,177.169998,178.880005,171.380005,175.919998,175.919998,5328746
2020-12-14,176.811493,179.513107,172.880005,173.800003,173.800003,3276771
2020-12-15,175.403397,176.500000,172.399994,174.929993,174.929993,2753722
2020-12-16,177.050003,182.210007,176.550003,179.789993,179.789993,4415568
2020-12-17,182.139999,186.899994,180.789993,185.250000,185.250000,3899642
2020-12-18,193.699997,205.910004,193.699997,203.750000,203.750000,15264153
2020-12-21,202.240005,211.609406,201.800003,210.649994,210.649994,8917236
2020-12-22,213.014999,225.750000,211.550003,224.899994,224.899994,8308401
